keyword,frequency,avg_score,paper_ids_str
access ai tool,2,0.7315499999999999,"2032,3039"
sustainable manufacture,2,0.7317,"3657,3695"
university development,2,0.7244,"1593,1594"
risk perception,2,0.6825,"1031,3414"
scaffold type,2,0.62585,"731,1997"
second language acquisition,2,0.81205,"3158,4209"
area improvement,2,0.6157,"1889,3486"
artificial intelligence assessment,2,0.7132000000000001,"549,2459"
assembly process scenario,2,0.8322,"3653,3697"
assist augment,2,0.6797,"1343,2943"
assistant,2,0.628,"1216,2800"
boundary,2,0.64195,"3479,4098"
boundary condition,2,0.5928,"1014,2623"
bridge knowledge gap,2,0.74995,"2070,2649"
building exist,2,0.6629499999999999,"1788,2007"
business student genai,2,0.8621,"1853,2784"
bypass,2,0.6084499999999999,"62,2707"
case reveal,2,0.61605,"1462,3100"
catalyst enhance,2,0.4842,"125,129"
technology demonstrate,2,0.6081000000000001,"1343,3580"
technology ethic,2,0.6991499999999999,"1609,4046"
technology mitigate,2,0.6236999999999999,"407,1825"
autoprompte inquirybase learning,2,0.8808,"125,129"
bachelor degree,2,0.6565000000000001,"639,2478"
balance automation,2,0.6123000000000001,"98,2698"
benchmark testing,2,0.72665,"156,771"
blend,2,0.6738999999999999,"1141,2535"
architectural education ai,2,0.87045,"568,3844"
area ai,2,0.65965,"153,3088"
synthetic datum augmentation,2,0.7242999999999999,"68,4250"
system bridge,2,0.62585,"2556,3216"
talent emerge,2,0.6946,"112,113"
task performance,2,0.78705,"311,439"
technological knowhow humancentere,2,0.7032,"1498,2936"
technological pedagogical content,2,0.80325,"159,3473"
agile software development,2,0.87975,"2698,3831"
agricultural big datum,2,0.6655,"1593,1594"
ai accelerator edge,2,0.8543499999999999,"327,2906"
ai detection tool,2,0.6870499999999999,"320,1852"
ai ethic,2,0.6824,"3113,4013"
ai language teaching,2,0.8906000000000001,"2082,2725"
aibased design tool,2,0.8003499999999999,"817,4163"
alliance semantic model,2,0.747,"1593,1594"
